Date,BND,GLD,QQQ,VTI
2014-03-31,58.684574127197266,123.61000061035156,80.2146224975586,80.39258575439453
2014-04-01,58.619361877441406,123.38999938964844,81.62366485595703,81.01943969726562
2014-04-02,58.50341033935547,124.31999969482422,81.83409118652344,81.27513122558594
2014-04-03,58.554134368896484,123.91999816894531,81.18450164794922,81.05242156982422
2014-04-04,58.728004455566406,125.56999969482422,79.0251693725586,79.93895721435547
2014-04-07,58.836673736572266,124.91000366210938,78.27490997314453,78.98219299316406
2014-04-08,58.880157470703125,126.08999633789062,78.99774932861328,79.32861328125
2014-04-09,58.86569595336914,126.31999969482422,80.35186004638672,80.27711486816406
2014-04-10,59.04679870605469,127.01000213623047,77.86318969726562,78.51207733154297
2014-04-11,59.083038330078125,126.93000030517578,76.95735168457031,77.73674774169922
2014-04-14,59.07577133178711,127.8499984741211,77.56123352050781,78.26463317871094
2014-04-15,59.10476303100586,125.48999786376953,77.81743621826172,78.8007583618164
2014-04-16,59.06853485107422,125.54000091552734,78.85133361816406,79.62554931640625
2014-04-17,58.91640090942383,124.75,78.86962127685547,79.78224182128906
2014-04-21,58.9308967590332,124.23999786376953,79.45518493652344,80.10392761230469
2014-04-22,58.9308967590332,123.77999877929688,80.08651733398438,80.51631927490234
2014-04-23,59.025108337402344,123.76000213623047,79.38201141357422,80.31014251708984
2014-04-24,59.039554595947266,124.55999755859375,80.14142608642578,80.4173583984375
2014-04-25,59.061309814453125,125.43000030517578,78.86048126220703,79.63380432128906
2014-04-28,58.996055603027344,124.87999725341797,79.11666107177734,79.74923706054688
2014-04-29,59.025108337402344,124.86000061035156,79.74800109863281,80.14515686035156
2014-04-30,59.15547561645508,124.22000122070312,79.95844268798828,80.44210052490234
2014-05-01,59.29922103881836,123.80000305175781,80.19631958007812,80.46680450439453
2014-05-02,59.36456298828125,125.05999755859375,80.04993438720703,80.4008560180664
2014-05-05,59.29922103881836,126.22000122070312,80.47084045410156,80.53280639648438
2014-05-06,59.357322692871094,125.9800033569336,79.42774200439453,79.79048919677734
2014-05-07,59.3863639831543,124.16999816894531,79.19902038574219,80.16165161132812
2014-05-08,59.4154052734375,124.16999816894531,79.12582397460938,79.94720458984375
2014-05-09,59.34282684326172,124.0999984741211,79.4186019897461,80.14515686035156
2014-05-12,59.28472137451172,124.94000244140625,80.7270278930664,81.05242156982422
2014-05-13,59.393638610839844,124.5999984741211,80.78189086914062,81.00296020507812
2014-05-14,59.5461311340332,125.80999755859375,80.36105346679688,80.55753326416016
2014-05-15,59.655025482177734,124.7699966430664,79.7297134399414,79.81523895263672
2014-05-16,59.655025482177734,124.5,80.251220703125,80.15340423583984
2014-05-19,59.633243560791016,124.58000183105469,80.80937957763672,80.5245590209961
2014-05-20,59.662261962890625,124.69000244140625,80.51656341552734,79.92247772216797
2014-05-21,59.611480712890625,124.38999938964844,81.28511810302734,80.54104614257812
2014-05-22,59.57514572143555,124.66999816894531,81.6419677734375,80.81324005126953
2014-05-23,59.633243560791016,124.51000213623047,82.23668670654297,81.23389434814453
2014-05-27,59.69136047363281,121.8499984741211,83.2614517211914,81.77001190185547
2014-05-28,59.887413024902344,121.19999694824219,83.0052490234375,81.67929077148438
2014-05-29,59.836544036865234,120.94000244140625,83.53593444824219,82.11640930175781
2014-05-30,59.778480529785156,120.43000030517578,83.54509735107422,82.1329345703125
2014-06-02,59.632164001464844,119.69999694824219,83.46276092529297,82.23188781738281
2014-06-03,59.48666000366211,120.01000213623047,83.4261245727539,82.19886779785156
2014-06-04,59.493919372558594,119.76000213623047,83.73721313476562,82.37210845947266
2014-06-05,59.559410095214844,120.66000366210938,84.4417724609375,83.04017639160156
2014-06-06,59.552162170410156,120.61000061035156,84.92669677734375,83.46907043457031
2014-06-09,59.50120162963867,120.6500015258789,84.86262512207031,83.60929870605469
2014-06-10,59.38479232788086,121.38999938964844,85.00901794433594,83.59278869628906
2014-06-11,59.406639099121094,121.41000366210938,84.99071502685547,83.31237030029297
2014-06-12,59.559410095214844,122.63999938964844,84.22216033935547,82.71852111816406
2014-06-13,59.544891357421875,122.95999908447266,84.46918487548828,82.99070739746094
2014-06-16,59.53031539916992,122.41999816894531,84.54239654541016,83.05667114257812
2014-06-17,59.3921012878418,122.27999877929688,84.588134765625,83.35359954833984
2014-06-18,59.544891357421875,122.66999816894531,85.06390380859375,83.97219848632812
2014-06-19,59.493919372558594,126.94000244140625,85.00901794433594,84.07117462158203
2014-06-20,59.53031539916992,126.5,85.10900115966797,84.26910400390625
