Date,SPY,AGG,EFA,MSFT,JPM,NVDA,JNJ,PG
2020-12-02,341.9440002441406,102.36365509033203,61.98866271972656,207.04286193847656,107.70563507080078,13.503279685974121,129.34063720703125,122.94375610351562
2020-12-03,341.85064697265625,102.53759765625,62.09225845336914,205.95657348632812,106.99960327148438,13.359179496765137,130.09146118164062,122.03741455078125
2020-12-04,344.796630859375,102.2593002319336,62.618831634521484,206.07191467285156,107.97041320800781,13.520980834960938,131.20034790039062,122.1529541015625
2020-12-07,344.088134765625,102.4158706665039,62.10951614379883,206.0045928955078,107.56443786621094,13.569347381591797,130.0653076171875,122.33954620361328
2020-12-08,345.0950012207031,102.42455291748047,62.32533645629883,207.65814208984375,107.67033386230469,13.31330394744873,132.31788635253906,122.66830444335938
2020-12-09,341.9999084472656,102.2767333984375,62.41167068481445,203.61090087890625,106.83194732666016,12.8952054977417,133.67120361328125,121.2110366821289
2020-12-10,341.8879699707031,102.52887725830078,62.49798583984375,202.38040161132812,106.1435317993164,12.936592102050781,132.92910766601562,120.41130828857422
2020-12-11,341.4870910644531,102.64196014404297,62.30807876586914,205.01443481445312,105.51692199707031,12.97747802734375,133.54026794433594,121.29988098144531
2020-12-14,339.9581604003906,102.58108520507812,62.3464241027832,205.91810607910156,104.40493774414062,13.272167205810547,130.1526336669922,120.71345520019531
2020-12-15,344.5542297363281,102.64196014404297,62.98270034790039,205.85079956054688,106.18767547607422,13.323776245117188,131.4622344970703,121.4242935180664
2020-12-16,345.0950012207031,102.59849548339844,63.22673797607422,210.8016815185547,106.49655151367188,13.206097602844238,130.6764678955078,121.9752197265625
2020-12-17,347.0247802734375,102.59412384033203,63.6712646484375,210.93630981445312,105.61402130126953,13.30457878112793,134.12518310546875,122.84601593017578
2020-12-18,345.6391296386719,102.5418472290039,63.34005355834961,210.13833618164062,105.09331512451172,13.235517501831055,134.9022674560547,123.5479965209961
